"";"Unannotated_gene"
"1";"Gpal_D383_g00009.t1"
"2";"Gpal_D383_g00043.t1"
"3";"Gpal_D383_g00061.t1"
"4";"Gpal_D383_g00238.t1"
"5";"Gpal_D383_g00459.t1"
"6";"Gpal_D383_g00609.t1"
"7";"Gpal_D383_g00989.t1"
"8";"Gpal_D383_g01152.t1"
"9";"Gpal_D383_g01156.t1"
"10";"Gpal_D383_g01167.t1"
"11";"Gpal_D383_g01714.t1"
"12";"Gpal_D383_g01837.t1"
"13";"Gpal_D383_g01838.t1"
"14";"Gpal_D383_g02532.t1"
"15";"Gpal_D383_g02541.t1"
"16";"Gpal_D383_g02654.t1"
"17";"Gpal_D383_g02714.t1"
"18";"Gpal_D383_g02792.t1"
"19";"Gpal_D383_g02814.t1"
"20";"Gpal_D383_g02821.t1"
"21";"Gpal_D383_g02856.t1"
"22";"Gpal_D383_g02913.t1"
"23";"Gpal_D383_g02939.t1"
"24";"Gpal_D383_g03037.t1"
"25";"Gpal_D383_g03049.t1"
"26";"Gpal_D383_g03075.t1"
"27";"Gpal_D383_g03077.t1"
"28";"Gpal_D383_g03099.t1"
"29";"Gpal_D383_g03366.t1"
"30";"Gpal_D383_g03691.t1"
"31";"Gpal_D383_g03891.t1"
"32";"Gpal_D383_g03976.t1"
"33";"Gpal_D383_g03984.t1"
"34";"Gpal_D383_g04020.t1"
"35";"Gpal_D383_g04161.t1"
"36";"Gpal_D383_g04241.t1"
"37";"Gpal_D383_g04293.t1"
"38";"Gpal_D383_g04366.t1"
"39";"Gpal_D383_g04378.t1"
"40";"Gpal_D383_g04411.t1"
"41";"Gpal_D383_g04420.t1"
"42";"Gpal_D383_g04462.t1"
"43";"Gpal_D383_g04687.t1"
"44";"Gpal_D383_g04690.t1"
"45";"Gpal_D383_g05262.t1"
"46";"Gpal_D383_g05271.t1"
"47";"Gpal_D383_g05272.t1"
"48";"Gpal_D383_g05278.t1"
"49";"Gpal_D383_g05295.t1"
"50";"Gpal_D383_g05579.t1"
"51";"Gpal_D383_g05614.t1"
"52";"Gpal_D383_g05634.t1"
"53";"Gpal_D383_g05636.t1"
"54";"Gpal_D383_g05755.t1"
"55";"Gpal_D383_g05962.t1"
"56";"Gpal_D383_g05996.t1"
"57";"Gpal_D383_g06089.t1"
"58";"Gpal_D383_g06095.t1"
"59";"Gpal_D383_g06218.t1"
"60";"Gpal_D383_g06266.t1"
"61";"Gpal_D383_g06349.t1"
"62";"Gpal_D383_g06412.t1"
"63";"Gpal_D383_g06417.t1"
"64";"Gpal_D383_g06418.t1"
"65";"Gpal_D383_g06424.t1"
"66";"Gpal_D383_g06619.t1"
"67";"Gpal_D383_g06624.t1"
"68";"Gpal_D383_g06766.t1"
"69";"Gpal_D383_g06902.t1"
"70";"Gpal_D383_g06928.t1"
"71";"Gpal_D383_g06938.t1"
"72";"Gpal_D383_g07282.t1"
"73";"Gpal_D383_g07289.t1"
"74";"Gpal_D383_g07566.t1"
"75";"Gpal_D383_g07611.t1"
"76";"Gpal_D383_g07667.t1"
"77";"Gpal_D383_g07797.t1"
"78";"Gpal_D383_g07852.t1"
"79";"Gpal_D383_g07864.t1"
"80";"Gpal_D383_g07915.t1"
"81";"Gpal_D383_g07928.t1"
"82";"Gpal_D383_g07939.t1"
"83";"Gpal_D383_g07995.t1"
"84";"Gpal_D383_g08006.t1"
"85";"Gpal_D383_g08020.t1"
"86";"Gpal_D383_g08026.t1"
"87";"Gpal_D383_g08044.t1"
"88";"Gpal_D383_g08082.t1"
"89";"Gpal_D383_g08328.t1"
"90";"Gpal_D383_g08348.t1"
"91";"Gpal_D383_g08382.t1"
