"__fastGreedyCluster","Description","Enzyme.Names","GO.IDs","id","InterPro.GO.Names","InterPro.IDs","name","selected","shared name","species"
"1","GDNF/GAS1 domain-containing protein","","P:GO:0051726; C:GO:0005886; C:GO:0031225","g9992.pdb","P:regulation of cell cycle","IPR039596 (PANTHER)","g9992.pdb","false","g9992.pdb","Mchit"
"2","unnamed protein product","","","g9936.pdb","no IPS match","no IPS match","g9936.pdb","false","g9936.pdb","Mchit"
"5","unnamed protein product","","C:GO:0016020; C:GO:0016021","g9904.pdb","no IPS match","no IPS match","g9904.pdb","false","g9904.pdb","Mchit"
"9","Tyrosinase_Cu-bd domain-containing protein","Oxidoreductases","F:GO:0016491","g9858.pdb","F:oxidoreductase activity","IPR002227 (PRINTS); IPR008922 (G3DSA:1.10.1280.GENE3D); IPR002227 (PFAM); PTHR11474 (PANTHER); PTHR11474:SF50 (PANTHER); IPR008922 (SUPERFAMILY)","g9858.pdb","false","g9858.pdb","Mchit"
"10","Pept_C1 domain-containing protein","","P:GO:0006508; F:GO:0008234","g983.pdb","P:proteolysis; F:cysteine-type peptidase activity","IPR000668 (PRINTS); IPR000668 (PFAM); G3DSA:3.90.70.10 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR12411:SF547 (PANTHER); PTHR12411 (PANTHER); IPR038765 (SUPERFAMILY)","g983.pdb","false","g983.pdb","Mchit"
"2","Protein CBG11905","","C:GO:0016021","g9832.pdb","no GO terms","IPR022559 (PFAM); IPR022559 (PANTHER)","g9832.pdb","false","g9832.pdb","Mchit"
"5","---NA---","","","g9811.pdb","no IPS match","no IPS match","g9811.pdb","false","g9811.pdb","Mchit"
"11","Protein F36H1.12","","P:GO:0007017; C:GO:0030286","g9805.pdb","no IPS match","no IPS match","g9805.pdb","false","g9805.pdb","Mchit"
"12","unnamed protein product","","C:GO:0016020; C:GO:0016021","g9794.pdb","no IPS match","no IPS match","g9794.pdb","false","g9794.pdb","Mchit"
"13","Expansin B","","C:GO:0016020; C:GO:0016021","g9788.pdb","no GO terms","IPR036908 (G3DSA:2.40.40.GENE3D); IPR036908 (SUPERFAMILY)","g9788.pdb","false","g9788.pdb","Mchit"
"13","Expansin B","","C:GO:0016020; C:GO:0016021","g9787.pdb","no GO terms","IPR036908 (G3DSA:2.40.40.GENE3D); IPR036908 (SUPERFAMILY)","g9787.pdb","false","g9787.pdb","Mchit"
"4","hypothetical protein Mgra_00008577","","","g9783.pdb","no IPS match","no IPS match","g9783.pdb","false","g9783.pdb","Mchit"
"3","---NA---","","","g9778.pdb","no IPS match","no IPS match","g9778.pdb","false","g9778.pdb","Mchit"
"13","Expansin B","","C:GO:0016020","g9777.pdb","no GO terms","IPR009009 (PFAM); IPR036908 (G3DSA:2.40.40.GENE3D); PTHR31836 (PANTHER); IPR036908 (SUPERFAMILY)","g9777.pdb","false","g9777.pdb","Mchit"
"13","Expansin B","","C:GO:0016020; C:GO:0016021","g9776.pdb","no GO terms","IPR009009 (PFAM); IPR036908 (G3DSA:2.40.40.GENE3D); PTHR31836 (PANTHER); IPR036908 (SUPERFAMILY)","g9776.pdb","false","g9776.pdb","Mchit"
"13","Expansin B","","C:GO:0016020","g9775.pdb","no GO terms","IPR036908 (G3DSA:2.40.40.GENE3D); IPR009009 (PFAM); PTHR31836 (PANTHER); IPR036908 (SUPERFAMILY)","g9775.pdb","false","g9775.pdb","Mchit"
"2","---NA---","","","g9774.pdb","no IPS match","no IPS match","g9774.pdb","false","g9774.pdb","Mchit"
"7","---NA---","","","g9773.pdb","no IPS match","no IPS match","g9773.pdb","false","g9773.pdb","Mchit"
"7","hypothetical protein Mgra_00006139","","","g9761.pdb","no IPS match","no IPS match","g9761.pdb","false","g9761.pdb","Mchit"
"14","Protein C09B8.3","","C:GO:0005892","g9760.pdb","C:acetylcholine-gated channel complex","IPR033438 (PFAM); G3DSA:3.10.310.50 (GENE3D); PTHR33748:SF2 (PANTHER); PTHR33748 (PANTHER)","g9760.pdb","false","g9760.pdb","Mchit"
"5","hypothetical protein Mgra_00008107, partial","","","g9732.pdb","no IPS match","no IPS match","g9732.pdb","false","g9732.pdb","Mchit"
"7","---NA---","","","g9702.pdb","no GO terms","mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)","g9702.pdb","false","g9702.pdb","Mchit"
"3","unnamed protein product","","C:GO:0016020","g9701.pdb","no IPS match","no IPS match","g9701.pdb","false","g9701.pdb","Mchit"
"15","unnamed protein product","","C:GO:0016020; C:GO:0016021","g9689.pdb","no GO terms","PTHR22907 (PANTHER); IPR001507 (PROSITE_PROFILES)","g9689.pdb","false","g9689.pdb","Mchit"
"5","Glycogen [starch] synthase","","","g9688.pdb","no IPS match","no IPS match","g9688.pdb","false","g9688.pdb","Mchit"
"16","kunitz/Bovine pancreatic trypsin inhibitor domain-containing protein","","F:GO:0004867","g9672.pdb","F:serine-type endopeptidase inhibitor activity","IPR036880 (G3DSA:4.10.410.GENE3D); IPR002223 (PFAM); IPR028150 (PFAM); IPR036880 (G3DSA:4.10.410.GENE3D); PTHR46339:SF1 (PANTHER); PTHR46339 (PANTHER); IPR002223 (PROSITE_PROFILES); IPR002223 (PROSITE_PROFILES); IPR002223 (CDD); IPR002223 (CDD); IPR036880 (SUPERFAMILY); IPR036880 (SUPERFAMILY)","g9672.pdb","false","g9672.pdb","Mchit"
"17","oxidoreductase, 2OG-Fe(II) oxygenase family protein","Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)","P:GO:0018401; F:GO:0031545; C:GO:0016222","g9671.pdb","no GO terms","IPR044862 (PFAM); G3DSA:2.60.120.620 (GENE3D); IPR045054 (PANTHER); PTHR10869:SF152 (PANTHER)","g9671.pdb","false","g9671.pdb","Mchit"
"6","hypothetical protein Mgra_00009478","","","g9616.pdb","no GO terms","PF11414 (PFAM); mobidb-lite (MOBIDB_LITE); IPR026828 (PANTHER); PTHR14907:SF2 (PANTHER)","g9616.pdb","false","g9616.pdb","Mchit"
"18","Hypothetical 31.4 kDa protein T19C3.2 in","","","g9613.pdb","no GO terms","IPR040271 (PANTHER); PTHR37443:SF2 (PANTHER)","g9613.pdb","false","g9613.pdb","Mchit"
"19","ZnMc domain-containing protein","Hydrolases","F:GO:0016787; C:GO:0110165","g960.pdb","no GO terms","IPR036375 (G3DSA:2.110.10.GENE3D); IPR036375 (SUPERFAMILY)","g960.pdb","false","g960.pdb","Mchit"
"3","unnamed protein product","","","g9604.pdb","no IPS match","no IPS match","g9604.pdb","false","g9604.pdb","Mchit"
"20","C-type lectin domain-containing protein","","C:GO:0016020; C:GO:0016021","g9595.pdb","no GO terms","IPR016186 (G3DSA:3.10.100.GENE3D); IPR001304 (PFAM); PTHR22802 (PANTHER); IPR001304 (PROSITE_PROFILES); cd00037 (CDD); IPR016187 (SUPERFAMILY)","g9595.pdb","false","g9595.pdb","Mchit"
"20","C-type lectin domain-containing protein","","C:GO:0016020; C:GO:0016021","g9594.pdb","no GO terms","IPR001304 (PFAM); IPR016186 (G3DSA:3.10.100.GENE3D); IPR001304 (PROSITE_PROFILES); cd00037 (CDD); IPR016187 (SUPERFAMILY)","g9594.pdb","false","g9594.pdb","Mchit"
"20","C-type lectin domain-containing protein","","C:GO:0016021","g9592.pdb","no GO terms","IPR016186 (G3DSA:3.10.100.GENE3D); IPR001304 (PFAM); IPR001304 (PROSITE_PROFILES); cd00037 (CDD); IPR016187 (SUPERFAMILY)","g9592.pdb","false","g9592.pdb","Mchit"
"21","Protein kinase domain-containing protein","","P:GO:0006468; F:GO:0004672; F:GO:0005524","g9577.pdb","P:protein phosphorylation; F:protein kinase activity; F:ATP binding","IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR24361 (PANTHER); IPR000719 (PROSITE_PROFILES); cd00180 (CDD); IPR011009 (SUPERFAMILY)","g9577.pdb","false","g9577.pdb","Mchit"
"21","Protein kinase domain-containing protein","","P:GO:0006468; F:GO:0004672; F:GO:0005524","g9576.pdb","P:protein phosphorylation; F:protein kinase activity; F:ATP binding","IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR44305:SF14 (PANTHER); PTHR44305 (PANTHER); IPR000719 (PROSITE_PROFILES); cd00180 (CDD); IPR011009 (SUPERFAMILY)","g9576.pdb","false","g9576.pdb","Mchit"
"21","Protein kinase domain-containing protein","","P:GO:0006468; F:GO:0004672; F:GO:0005524","g9575.pdb","P:protein phosphorylation; F:protein kinase activity; F:ATP binding","G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PTHR43289 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)","g9575.pdb","false","g9575.pdb","Mchit"
"21","Protein kinase domain-containing protein","","P:GO:0006468; F:GO:0004672; F:GO:0005524","g9574.pdb","P:protein phosphorylation; F:protein kinase activity; F:ATP binding","G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR44305 (PANTHER); PTHR44305:SF12 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)","g9574.pdb","false","g9574.pdb","Mchit"
"12","unnamed protein product","","C:GO:0016020; C:GO:0016021","g9526.pdb","no IPS match","no IPS match","g9526.pdb","false","g9526.pdb","Mchit"
"4","unnamed protein product","","C:GO:0016020; C:GO:0016021","g9517.pdb","no IPS match","no IPS match","g9517.pdb","false","g9517.pdb","Mchit"
"5","---NA---","","","g9512.pdb","no IPS match","no IPS match","g9512.pdb","false","g9512.pdb","Mchit"
