Gpal_ID	Uniprot_ID	Protein Name	 Gene Name	 Wormbase ref	Spec_A	Spec_B
Gpal_D383_g00009	A0A0K3ARQ1	Uncharacterized protein	B0348.10 CELE_B0348.10	B0348.10;	Gpal	Cele
Gpal_D383_g00009	A0A0S4XR61	Uncharacterized protein	C49F5.13 CELE_C49F5.13	C49F5.13;	Gpal	Cele
Gpal_D383_g00009	A0A2C9C2N5	Uncharacterized protein	CELE_F11G11.15 F11G11.15	F11G11.15;	Gpal	Cele
Gpal_D383_g00009	A0A2K5ATM1	Uncharacterized protein	C32E8.13 CELE_C32E8.13	C32E8.13;	Gpal	Cele
Gpal_D383_g00009	A0A2R8F5A8	Complex1_LYR_dom domain-containing protein	CELE_F53G2.12 F53G2.12	F53G2.12a;	Gpal	Cele
Gpal_D383_g00009	A0A3B1E543	Uncharacterized protein	C40C9.4 CELE_C40C9.4	C40C9.4a;	Gpal	Cele
Gpal_D383_g00009	A0A5E4M2K2	Uncharacterized protein	CELE_R160.13 R160.13	R160.13;	Gpal	Cele
Gpal_D383_g00009	A0A5S9MMR3	Uncharacterized protein	CELE_Y80D4G.2 Y80D4G.2	Y80D4G.2;	Gpal	Cele
Gpal_D383_g00009	A0FLR5	Uncharacterized protein	CELE_F07C6.6 F07C6.6	F07C6.6;	Gpal	Cele
Gpal_D383_g00009	A2V8C7	Uncharacterized protein	CELE_T07A9.15 T07A9.15	T07A9.15;	Gpal	Cele
Gpal_D383_g00009	A3FPK5	Uncharacterized protein	CELE_F46C3.6 F46C3.6	F46C3.6;	Gpal	Cele
Gpal_D383_g00009	A5JYQ9	Vacuolar ATPase assembly integral membrane protein VMA21 homolog	pdcd-2 R07E5.10	R07E5.10b;	Gpal	Cele
Gpal_D383_g00009	A5JYR0	Uncharacterized protein	C06C3.10 CELE_C06C3.10	C06C3.10;	Gpal	Cele
Gpal_D383_g00009	A5Z2S9	Uncharacterized protein	CELE_ZK809.8 ZK809.8	ZK809.8b;	Gpal	Cele
Gpal_D383_g00009	A5Z2X2	Protein BRICK1	CELE_Y57G11C.1147 Y57G11C.1147	Y57G11C.1147;	Gpal	Cele
Gpal_D383_g00009	A8WHN2	Uncharacterized protein	C05G5.7 CELE_C05G5.7	C05G5.7;	Gpal	Cele
Gpal_D383_g00009	B3WFW1	Uncharacterized protein	CELE_K04G2.12 K04G2.12	K04G2.12;	Gpal	Cele
Gpal_D383_g00009	C0HLB3	V-type proton ATPase 16 kDa proteolipid subunit c 2 (V-ATPase 16 kDa proteolipid subunit c 2) (Vacuolar proton pump 16 kDa proteolipid subunit c 2)	vha-2 R10E11.2	R10E11.2;	Gpal	Cele
Gpal_D383_g00009	C0HLB4	V-type proton ATPase 16 kDa proteolipid subunit c 3 (V-ATPase 16 kDa proteolipid subunit c 3) (Vacuolar proton pump 16 kDa proteolipid subunit c 3)	vha-3 Y38F2AL.4	Y38F2AL.4;	Gpal	Cele
Gpal_D383_g00009	C1P646	Uncharacterized protein	C45B11.9 CELE_C45B11.9	C45B11.9;	Gpal	Cele
Gpal_D383_g00009	C5VUJ6	Uncharacterized protein	CELE_Y64G10A.10 Y64G10A.10	Y64G10A.10a;	Gpal	Cele
