"data.key.column","Identity","interaction","name","P.adjusted","selected","shared interaction","shared name","source","target"
"419411","50.76","interacts with","g9992.pdb (interacts with) Gpal_D383_g09175.pdb","1.136301E-9","false","interacts with","g9992.pdb (interacts with) Gpal_D383_g09175.pdb","g9992.pdb","Gpal_D383_g09175.pdb"
"419381","2.44","interacts with","g9936.pdb (interacts with) Gpal_D383_g09252.pdb","0.00987993","false","interacts with","g9936.pdb (interacts with) Gpal_D383_g09252.pdb","g9936.pdb","Gpal_D383_g09252.pdb"
"419375","6.33","interacts with","g9936.pdb (interacts with) Gpal_D383_g08414.pdb","0.0497268","false","interacts with","g9936.pdb (interacts with) Gpal_D383_g08414.pdb","g9936.pdb","Gpal_D383_g08414.pdb"
"419372","10.0","interacts with","g9936.pdb (interacts with) Gpal_D383_g08020.pdb","0.037077","false","interacts with","g9936.pdb (interacts with) Gpal_D383_g08020.pdb","g9936.pdb","Gpal_D383_g08020.pdb"
"419402","4.76","interacts with","g9936.pdb (interacts with) Gpal_D383_g14283.pdb","0.00290073","false","interacts with","g9936.pdb (interacts with) Gpal_D383_g14283.pdb","g9936.pdb","Gpal_D383_g14283.pdb"
"419384","5.26","interacts with","g9936.pdb (interacts with) Gpal_D383_g12120.pdb","0.01147206","false","interacts with","g9936.pdb (interacts with) Gpal_D383_g12120.pdb","g9936.pdb","Gpal_D383_g12120.pdb"
"419354","8.57","interacts with","g9936.pdb (interacts with) Gpal_D383_g02790.pdb","0.001794963","false","interacts with","g9936.pdb (interacts with) Gpal_D383_g02790.pdb","g9936.pdb","Gpal_D383_g02790.pdb"
"419387","5.41","interacts with","g9936.pdb (interacts with) Gpal_D383_g12260.pdb","0.023991","false","interacts with","g9936.pdb (interacts with) Gpal_D383_g12260.pdb","g9936.pdb","Gpal_D383_g12260.pdb"
"419405","5.71","interacts with","g9936.pdb (interacts with) Gpal_D383_g14948.pdb","0.0054525","false","interacts with","g9936.pdb (interacts with) Gpal_D383_g14948.pdb","g9936.pdb","Gpal_D383_g14948.pdb"
"419360","5.66","interacts with","g9936.pdb (interacts with) Gpal_D383_g03984.pdb","0.0418752","false","interacts with","g9936.pdb (interacts with) Gpal_D383_g03984.pdb","g9936.pdb","Gpal_D383_g03984.pdb"
"419357","8.57","interacts with","g9936.pdb (interacts with) Gpal_D383_g02888.pdb","0.00394761","false","interacts with","g9936.pdb (interacts with) Gpal_D383_g02888.pdb","g9936.pdb","Gpal_D383_g02888.pdb"
"419081","16.13","interacts with","g9832.pdb (interacts with) Gpal_D383_g01135.pdb","0.0438381","false","interacts with","g9832.pdb (interacts with) Gpal_D383_g01135.pdb","g9832.pdb","Gpal_D383_g01135.pdb"
"419105","4.26","interacts with","g9832.pdb (interacts with) Gpal_D383_g12120.pdb","0.01288971","false","interacts with","g9832.pdb (interacts with) Gpal_D383_g12120.pdb","g9832.pdb","Gpal_D383_g12120.pdb"
"419084","4.17","interacts with","g9832.pdb (interacts with) Gpal_D383_g02790.pdb","0.039258","false","interacts with","g9832.pdb (interacts with) Gpal_D383_g02790.pdb","g9832.pdb","Gpal_D383_g02790.pdb"
"419108","4.21","interacts with","g9832.pdb (interacts with) Gpal_D383_g12307.pdb","0.0497268","false","interacts with","g9832.pdb (interacts with) Gpal_D383_g12307.pdb","g9832.pdb","Gpal_D383_g12307.pdb"
"419087","9.38","interacts with","g9832.pdb (interacts with) Gpal_D383_g02888.pdb","0.0364227","false","interacts with","g9832.pdb (interacts with) Gpal_D383_g02888.pdb","g9832.pdb","Gpal_D383_g02888.pdb"
"418859","11.0","interacts with","g9774.pdb (interacts with) Gpal_D383_g02888.pdb","0.0362046","false","interacts with","g9774.pdb (interacts with) Gpal_D383_g02888.pdb","g9774.pdb","Gpal_D383_g02888.pdb"
"418499","6.67","interacts with","g9504.pdb (interacts with) Gpal_D383_g15757.pdb","0.0466734","false","interacts with","g9504.pdb (interacts with) Gpal_D383_g15757.pdb","g9504.pdb","Gpal_D383_g15757.pdb"
"418343","9.33","interacts with","g9388.pdb (interacts with) Gpal_D383_g02790.pdb","0.01997796","false","interacts with","g9388.pdb (interacts with) Gpal_D383_g02790.pdb","g9388.pdb","Gpal_D383_g02790.pdb"
"418352","9.72","interacts with","g9388.pdb (interacts with) Gpal_D383_g15757.pdb","0.01299876","false","interacts with","g9388.pdb (interacts with) Gpal_D383_g15757.pdb","g9388.pdb","Gpal_D383_g15757.pdb"
"418325","7.58","interacts with","g9384.pdb (interacts with) Gpal_D383_g12120.pdb","0.0425295","false","interacts with","g9384.pdb (interacts with) Gpal_D383_g12120.pdb","g9384.pdb","Gpal_D383_g12120.pdb"
"418310","6.58","interacts with","g9384.pdb (interacts with) Gpal_D383_g02790.pdb","0.01692456","false","interacts with","g9384.pdb (interacts with) Gpal_D383_g02790.pdb","g9384.pdb","Gpal_D383_g02790.pdb"
