From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	WormBase
A0A060Q5Z9	A0A060Q5Z9	unreviewed	A0A060Q5Z9_CAEEL	Serpentine Receptor, class Z	srz-59 CELE_H12I19.7 H12I19.7	Caenorhabditis elegans	295	H12I19.7;
A0A060Q608	A0A060Q608	unreviewed	A0A060Q608_CAEEL	Serpentine Receptor, class T	CELE_Y57G11C.28 Y57G11C.28	Caenorhabditis elegans	285	Y57G11C.28;
A0A061AD30	A0A061AD30	unreviewed	A0A061AD30_CAEEL	TLC domain-containing protein	CELE_M02B1.3 M02B1.3	Caenorhabditis elegans	322	M02B1.3b;
A0A067XG43	A0A067XG43	unreviewed	A0A067XG43_CAEEL	Serpentine Receptor, class E (Epsilon)	sre-18 CELE_Y39C12A.3 Y39C12A.3	Caenorhabditis elegans	315	Y39C12A.3b;
A0A077LTN0	A0A077LTN0	unreviewed	A0A077LTN0_CAEEL	Serpentine Receptor, class Z	C35D6.13 CELE_C35D6.13	Caenorhabditis elegans	332	C35D6.13a;
A0A078BPE5	A0A078BPE5	unreviewed	A0A078BPE5_CAEEL	Protein containing ALS2cr12 (ALS2CR12) signature	pals-7 C17H1.8 CELE_C17H1.8	Caenorhabditis elegans	333	C17H1.8b;
A0A078BQI6	A0A078BQI6	unreviewed	A0A078BQI6_CAEEL	Protein containing ALS2cr12 (ALS2CR12) signature	pals-11 C17H1.13 CELE_C17H1.13	Caenorhabditis elegans	326	C17H1.13b;
A0A078BS54	A0A078BS54	unreviewed	A0A078BS54_CAEEL	MARVEL domain-containing protein	C07H4.1 CELE_C07H4.1	Caenorhabditis elegans	192	C07H4.1b;
A0A078BS77	A0A078BS77	unreviewed	A0A078BS77_CAEEL	Uncharacterized protein	C07H6.9 CELE_C07H6.9	Caenorhabditis elegans	161	C07H6.9b;
A0A078BS80	A0A078BS80	unreviewed	A0A078BS80_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srv-15 CELE_Y105C5B.6 Y105C5B.6	Caenorhabditis elegans	339	Y105C5B.6c;
A0A0B7H0Y9	A0A0B7H0Y9	unreviewed	A0A0B7H0Y9_CAEEL	Serpentine Receptor, class E (Epsilon)	sre-10 CELE_F10D2.3 F10D2.3	Caenorhabditis elegans	248	F10D2.3;
A0A0B7H2U2	A0A0B7H2U2	unreviewed	A0A0B7H2U2_CAEEL	Serpentine Receptor, class H	srh-146 C31B8.3 CELE_C31B8.3	Caenorhabditis elegans	335	C31B8.3;
A0A0B7H3M6	A0A0B7H3M6	unreviewed	A0A0B7H3M6_CAEEL	Serpentine Receptor, class I	sri-72 C14C6.11 CELE_C14C6.11	Caenorhabditis elegans	308	C14C6.11;
A0A0K2WN07	A0A0K2WN07	unreviewed	A0A0K2WN07_CAEEL	Serpentine Receptor, class J	srj-52 CELE_Y49C4A.7 Y49C4A.7	Caenorhabditis elegans	180	Y49C4A.7;
A0A0K3AR48	A0A0K3AR48	unreviewed	A0A0K3AR48_CAEEL	Uncharacterized protein	CELE_T01D1.5 T01D1.5	Caenorhabditis elegans	324	T01D1.5;
A0A0K3AR66	A0A0K3AR66	unreviewed	A0A0K3AR66_CAEEL	PLugged Excretory Pore	plep-1 CELE_Y52E8A.4 Y52E8A.4	Caenorhabditis elegans	456	Y52E8A.4a;
A0A0K3ARD8	A0A0K3ARD8	unreviewed	A0A0K3ARD8_CAEEL	Uncharacterized protein	CELE_Y55B1BR.6 Y55B1BR.6	Caenorhabditis elegans	175	Y55B1BR.6a;
A0A0K3ARQ1	A0A0K3ARQ1	unreviewed	A0A0K3ARQ1_CAEEL	Uncharacterized protein	B0348.10 CELE_B0348.10	Caenorhabditis elegans	54	B0348.10;
A0A0K3ART6	A0A0K3ART6	unreviewed	A0A0K3ART6_CAEEL	Serpentine Receptor, class H	srh-2 C05E4.14 CELE_C05E4.14	Caenorhabditis elegans	342	C05E4.14e;
A0A0K3ARZ8	A0A0K3ARZ8	unreviewed	A0A0K3ARZ8_CAEEL	Protein containing ALS2cr12 (ALS2CR12) signature	pals-21 CELE_Y82E9BR.32 Y82E9BR.32	Caenorhabditis elegans	181	Y82E9BR.32;
A0A0K3AS76	A0A0K3AS76	unreviewed	A0A0K3AS76_CAEEL	Seven TM Receptor	CELE_K10C9.4 K10C9.4	Caenorhabditis elegans	323	K10C9.4a;
A0A0K3AT08	A0A0K3AT08	unreviewed	A0A0K3AT08_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	CELE_Y40B10A.5 Y40B10A.5	Caenorhabditis elegans	325	Y40B10A.5d;
A0A0K3AT19	A0A0K3AT19	unreviewed	A0A0K3AT19_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-100 CELE_Y46H3C.1 Y46H3C.1	Caenorhabditis elegans	360	Y46H3C.1a;
A0A0K3AT43	A0A0K3AT43	unreviewed	A0A0K3AT43_CAEEL	GLoBin related	glb-33 CELE_Y75B7AL.1 Y75B7AL.1	Caenorhabditis elegans	546	Y75B7AL.1a;
